clinic_name,category,rating_band,address,phone,specialty,google_place_name,google_rating,google_review_count,open_in_google_maps,latitude,longitude,match_status,review_priority,match_confidence,postal_code,google_postal_code,google_formatted_address,match_notes
THE CARDIO CLINIC @ EAST,Specialist,<4.0 / no rating,319 JOO CHIAT PLACE #02-01/02 PARKWAY EAST MEDICAL CENTRE SINGAPORE 427989,63452232,CARDIOLOGY,The Cardio Clinic @ East,3.6,13,https://maps.google.com/?cid=11576472470013729055&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3151903999999999,103.9090233,matched,low,1.0,427989,427989,"319 Joo Chiat Pl, #02-02 Parkway East Medical Centre, Singapore 427989",postal code matches; clinic name closely matches; address closely matches
BREAST SURGERY CARE PARTNERS (ORCHARD),Specialist,<4.0 / no rating,3 MOUNT ELIZABETH #10-10 MOUNT ELIZABETH ORCHARD HOSPITAL SINGAPORE 228510,88499565,GENERAL SURGERY,Breast Surgery Care Partners | Dr. Sabrina Ngaserin | Female Breast Specialist,,,https://maps.google.com/?cid=3594542989148428314&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3050789,103.8355742,address_only,medium,0.66,228510,228510,"3 Mount Elizabeth, Singapore 228510",postal code matches; clinic name differs; address partially matches
COLORECTAL CLINIC ASSOCIATES (GLENEAGLES),Specialist,<4.0 / no rating,6 NAPIER ROAD #06-16 GLENEAGLES MEDICAL CENTRE SINGAPORE 258499,66439922,GENERAL SURGERY- COLORECTAL,Colorectal Clinic Associates @ Gleneagles Hospital Medical Centre,3,2,https://maps.google.com/?cid=8624831778458532690&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3076732,103.81976689999999,matched,low,0.827,258499,258499,"6 Napier Rd, #06-08, Singapore 258499",postal code matches; clinic name partially matches; address partially matches
COLORECTAL CLINIC ASSOCIATES,Specialist,<4.0 / no rating,38 IRRAWADDY ROAD #10-48/49 MT ELIZABETH NOVENA SPECIALIST CENTRE SINGAPORE 329563,66439922,GENERAL SURGERY,Colorectal Clinic Associates,3.6,42,https://maps.google.com/?cid=9072958838105694964&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3217387,103.8439985,matched,low,1.0,329563,329563,"38 Irrawaddy Rd, #10-48/49 Mount Elizabeth Hospital Specialist Centre, Singapore 329563",postal code matches; clinic name closely matches; address closely matches
CENTRE FOR FOOT AND ANKLE SURGERY PTE LTD (PARKWAY EAST),Specialist,<4.0 / no rating,319 JOO CHIAT PLACE #03-05 PARKWAY EAST MEDICAL CENTRE SINGAPORE 427989,6348 2605,ORTHOPAEDIC,Centre For Foot And Ankle Surgery @ Joo Chiat Place,,,https://maps.google.com/?cid=13522280983587115622&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3151918999999999,103.90903019999999,name_match_address_partial,medium,0.767,427989,427989,"319 Joo Chiat Pl, Singapore 427989",postal code matches; clinic name partially matches; address partially matches
"COLORECTAL SURGEONS, INC (MOUNT ELIZABETH)",Specialist,<4.0 / no rating,38 IRRAWADDY ROAD #06-30 MOUNT ELIZABETH NOVENA SPECIALIST CENTRE SINGAPORE 329563,6694 4844,GENERAL SURGERY,"Colorectal Surgeons, Inc",2.8,5,https://maps.google.com/?cid=923910003430017225&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.322236,103.84403879999999,matched,low,0.82,329563,329563,"38 Irrawaddy Road, Mount Elizabeth Novena Specialist Center, #06-30, Singapore 329563",postal code matches; clinic name partially matches; address closely matches
CYNTHIA KEW CLINIC FOR WOMEN & LAPAROSCOPE SURGERY,Specialist,<4.0 / no rating,38 IRRAWADDY ROAD #07-36 MOUNT ELIZABETH NOVENA SPECIALIST CENTRE SINGPAORE 329563,63341023,OBSTETRICS & GYNAECOLOGY,Cynthia Kew Clinic for Women & Laparoscopic Surgery,3.4,24,https://maps.google.com/?cid=13656554402193983780&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3221642,103.8441626,matched,low,0.907,329563,329563,"Mount Elizabeth, Irrawaddy Rd, #07-36 Specialist Centre, Singapore 329563",postal code matches; clinic name closely matches; address partially matches
DERMATOLOGY SPECIALISTS CLINIC,Specialist,<4.0 / no rating,290 ORCHARD ROAD #15-09 THE PARAGON SINGAPORE 238859,67332668,DERMATOLOGY,Dermatology Specialists Clinic,2.7,34,https://maps.google.com/?cid=1956852356360535159&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3038699,103.8357982,matched,low,1.0,238859,238859,"290 Orchard Rd, #15-09 Paragon, Singapore 238859",postal code matches; clinic name closely matches; address closely matches
DR DAPHNE LEE ENDOCRINE AND DIABETES MEDICAL CLINIC,Specialist,<4.0 / no rating,38 IRRAWADDY ROAD #07-63 MOUNT ELIZABETH NOVENA SPECIALIST CENTRE SINGAPORE 329563,98374199,ENDOCRINOLOGY,Dr Daphne Lee Endocrine and Diabetes Medical Clinic,3,2,https://maps.google.com/?cid=18300256715158909650&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.322236,103.84403879999999,matched,low,1.0,329563,329563,"38 Irrawaddy Road #07-63 Mount Elizabeth, Specialist Centre, Singapore 329563",postal code matches; clinic name closely matches; address closely matches
ESC CARDIOVASCULAR & MEDICINE CLINIC,Specialist,<4.0 / no rating,1 FARRER PARK STATION ROAD #15- 01 FARRER PARK MEDICAL CENTRE SINGAPORE 217562,68220120,CARDIOLOGY,ESC Cardiovascular & Medical Clinic,3.9,7,https://maps.google.com/?cid=3803034552299558834&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.312525,103.853912,matched,low,0.866,217562,217562,"Medical Suite #15-01, Farrer Park Hospital, Connexion Medical Complex, 1, Farrer, Singapore 217562",postal code matches; clinic name closely matches; address partially matches
