clinic_name,category,rating_band,address,phone,specialty,google_place_name,google_rating,google_review_count,open_in_google_maps,latitude,longitude,match_status,review_priority,match_confidence,postal_code,google_postal_code,google_formatted_address,match_notes
ASIAN HEART & VASCULAR CENTRE (NOVENA) (L10),Specialist,4.5+,38 IRRAWADDY ROAD #10-54/55 MOUNT ELIZABETH NOVENA SPECIALIST CENTRE SINGAPORE 329563,63393638 / 62733638,CARDIOLOGY,Asian Heart & Vascular Centre (AHVC) - Mount Elizabeth Novena Specialist Centre Level 10,5,29,https://maps.google.com/?cid=17277891459727151429&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.322236,103.84403879999999,address_only,medium,0.69,329563,329563,"Mount Elizabeth, 38 Irrawaddy Rd, #10-54 to 55 Specialist Centre, Singapore 329563",postal code matches; clinic name differs; address partially matches
ASIAN HEART & VASCULAR CENTRE (GLENEAGLES),Specialist,4.5+,6A NAPIER ROAD #01-39 GLENEAGLES HOSPITAL ANNEXE BLOCK SINGAPORE 258500,64739698 / 62733638,CARDIOLOGY,Asian Heart & Vascular Centre (AHVC) - Gleneagles Hospital Annexe Block,4.7,6,https://maps.google.com/?cid=6790107911586154658&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3073782,103.8198608,name_match_address_partial,medium,0.762,258500,258500,"Gleneagles Hospital Annexe, 6 Napier Rd, #01-39, Singapore 258500",postal code matches; clinic name partially matches; address partially matches
ASIAN HEART & VASCULAR CENTRE (PARKWAY EAST),Specialist,4.5+,319 JOO CHIAT PLACE #04-05 PARKWAY EAST MEDICAL CENTRE SINGAPORE 427989,63441317 / 62733638,CARDIOLOGY,Asian Heart & Vascular Centre (AHVC) - Parkway East Medical Centre,5,25,https://maps.google.com/?cid=8566787018540521960&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3151918999999999,103.90903019999999,matched,low,0.871,427989,427989,"319 Joo Chiat Pl, #04-05 Parkway East Medical Centre, Singapore 427989",postal code matches; clinic name partially matches; address closely matches
ATLAS EYE SPECIALIST CENTRE,Specialist,4.5+,290 ORCHARD ROAD #07-09 PARAGON MEDICAL CENTRE SINGAPORE 238859,67379119,OPHTHALMOLOGY,Atlas Eye Specialist Centre @ Paragon Medical,4.9,1264,https://maps.google.com/?cid=16749730957993063415&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3039053,103.8355763,matched,low,0.862,238859,238859,"290 Orchard Road Paragon Medical, Unit, #07-09 Tower 1, Singapore 238859",postal code matches; clinic name partially matches; address closely matches
ALPHA JOINTS & ORTHOPAEDICS,Specialist,4.5+,6 NAPIER ROAD #02-20 GLENEAGLES MEDICAL CENTRE SINGAPORE 258499,64792488,ORTHOPAEDIC,Alpha Joints & Orthopaedics (Gleneagles),4.6,160,https://maps.google.com/?cid=36261932405615129&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3076257,103.82020120000001,matched,low,0.867,258499,258499,"Gleneagles Medical Centre 6, #02-20 Napier Rd, Singapore 258499",postal code matches; clinic name partially matches; address partially matches
ADVANCED UROLOGY ASSOCIATE (GLENEAGLES),Specialist,4.5+,6 NAPIER ROAD #04-16 GLENEAGLES MEDICAL CENTRE SINGAPORE 258499,64753668,UROLOGY,Advanced Urology (Gleneagles),4.7,13,https://maps.google.com/?cid=14573974985848208310&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3076257,103.82020120000001,matched,low,0.826,258499,258499,"6 Napier Rd, #04-07, Singapore 258499",postal code matches; clinic name closely matches; address partially matches
ADVANCED UROLOGY ASSOCIATE (NOVENA),Specialist,4.5+,38 IRRAWADDY ROAD #07-40 MOUNT ELIZABETH NOVENA SPECIALIST CENTRE SINGAPORE 329563,66941838,UROLOGY,Advanced Urology (Novena),4.8,53,https://maps.google.com/?cid=7885183905732061734&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.322236,103.84403879999999,matched,low,0.792,329563,329563,"38 Irrawaddy Rd, Suite 05-41, Singapore 329563",postal code matches; clinic name closely matches; address partially matches
COVE ORTHOPAEDIC CLINIC (MOUNT ELIZABETH),Specialist,4.5+,3 MOUNT ELIZABETH #14-13 MT ELIZABETH MEDICAL CENTRE SINGAPORE 228510,64757177,ORTHOPAEDIC,Cove Orthopaedic Clinic (Mount Elizabeth Orchard) | Sports Orthopaedic Surgeon Singapore,4.7,39,https://maps.google.com/?cid=3888536696228711996&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3055915,103.8354837,matched,low,0.799,228510,228510,"3 Mount Elizabeth, #14-13 Medical Centre, Singapore 228510",postal code matches; clinic name differs; address closely matches
ARDMORE ORTHOPAEDIC CLINIC (FARRER PARK),Specialist,4.5+,1 FARRER PARK STATION ROAD #11-10 CONNEXION FARRER PARK HOSPITAL SINGAPORE 217562,96317637,ORTHOPAEDIC,Shoulder Elbow Orthopaedic Clinic (Farrer Park),5,82,https://maps.google.com/?cid=154338707873894473&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3127619,103.85455619999999,matched,low,0.791,217562,217562,"Connexion, 1 Farrer Park Station Rd, #07-15, Singapore 217562",postal code matches; clinic name partially matches; address partially matches
ASCENSION HEART CENTRE,Specialist,4.5+,820 THOMSON ROAD #07-60 MT ALVERNIA MEDICAL CENTRE BLOCK D SINGAPORE 574623,64640760,CARDIOLOGY,Ascension Heart Centre,4.9,44,https://maps.google.com/?cid=18334680697703794053&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3418306,103.8379635,matched,low,1.0,574623,574623,"820 Thomson Road #07-60 Mount Alvernia Medical Centre D, Singapore 574623",postal code matches; clinic name closely matches; address closely matches
ATLAS EYE SPECIALIST CENTRE (NOVENA),Specialist,4.5+,101 IRRAWADDY ROAD #19-12/13 ROYAL SQUARE AT NOVENA SINGAPORE 329565,6737 9119,OPHTHALMOLOGY,Atlas Eye Specialist Centre - Cataract and LASIK Surgery in Singapore,5,159,https://maps.google.com/?cid=1730178785366278434&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3206053000000002,103.84323719999999,address_only,medium,0.736,329565,329565,"101 Irrawaddy Road #19-12/13 Royal Square Medical Centre, Singapore 329565",postal code matches; clinic name differs; address closely matches
ALPHA JOINTS & ORTHOPAEDICS (PARAGON),Specialist,4.5+,"290 ORCHARD ROAD, #15-11/12, PARAGON MEDICAL CENTER, SINGAPORE 238859",65142137,ORTHOPAEDIC,Alpha Joints & Orthopaedics (Paragon),4.7,185,https://maps.google.com/?cid=13621362615876816796&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3039053999999999,103.8355763,matched,low,1.0,238859,238859,"290 Orchard Rd, #15-11/12 Paragon Medical Center, Singapore 238859",postal code matches; clinic name closely matches; address closely matches
ARDEN-JR SURGERY,Specialist,4.5+,38 IRRAWADDY ROAD #08-32 MOUNT ELIZABETH NOVENA SPECIALIST CENTRE SINGAPORE 329563,65920078,GENERAL SURGERY,"Arden JR Surgery | GI, Cancer & Bariatric Surgeon Singapore",4.8,16,https://maps.google.com/?cid=5933494836538409412&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.322236,103.84403879999999,address_only,medium,0.711,329563,329563,"38 Irrawaddy Rd, #08-32 Mount Elizabeth Novena Specialist Centre, Singapore 329563",postal code matches; clinic name differs; address closely matches
AVA EYE CLINIC,Specialist,4.5+,101 IRRAWADDY ROAD #20-01 ROYAL SQUARE MEDICAL SUITES SINGAPORE 329565,62507377,OPHTHALMOLOGY,Ava Eye Clinic - Eye Specialists in Novena Singapore,4.6,80,https://maps.google.com/?cid=14010763053478134699&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3205467,103.84318290000002,address_only,medium,0.628,329565,329565,"101 Irrawaddy Rd, #20-01/09 Royal Square at Novena and Royal Square Medical Centre, Royal Square Medical Centre, Singapore 329565",postal code matches; clinic name differs; address partially matches
ALPHA WOMEN'S SPECIALISTS (NOVENA),Specialist,4.5+,101 IRRAWADDY ROAD #12-07/14 ROYAL SQUARE @ NOVENA SINGAPORE 329565,68608888,OBSTETRICS & GYNAECOLOGY,Alpha IVF Centre & Alpha Women's Specialists,4.8,155,https://maps.google.com/?cid=4459313172215087170&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3206053000000002,103.84323719999999,name_match_address_partial,medium,0.759,329565,329565,"101 Irrawaddy Rd, #12-12 Royal Square Medical Centre, Singapore 329565",postal code matches; clinic name partially matches; address closely matches
ANDREW LEE BREAST CLINIC,Specialist,4.5+,6 NAPIER ROAD #09-13 GLENEAGLES MEDICAL CENTRE SINGAPORE 258499,69096488,GENERAL SURGERY,Andrew Lee Breast Clinic,5,17,https://maps.google.com/?cid=8917234719172443684&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3071182,103.82019659999999,matched,low,1.0,258499,258499,"6 Napier Rd, #09-13 Gleneagle Medical Centre, Singapore 258499",postal code matches; clinic name closely matches; address closely matches
ADULT & CHILD EYE (ACE) CLINIC,Specialist,4.5+,820 THOMSON ROAD MOUNT ALVERNIA HOSPITAL #02-82 ST ANNE MOTHER & CHILD CENTRE SINGAPORE 574623,67776058,OPHTHALMOLOGY,Adult & Child Eye (ACE) Clinic - Dr Cheryl Ngo,4.9,69,https://maps.google.com/?cid=4314229307335754947&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3416367999999999,103.8372638,matched,low,0.858,574623,574623,"820 Thomson Road #02-82 St Anne Mother & Child Centre, Mount Alvernia Hospital, Singapore 574623",postal code matches; clinic name partially matches; address partially matches
AVANT SPORTS SHOULDER AND ELBOW SURGERY,Specialist,4.5+,319 JOO CHIAT PLACE #04-06 PARKWAY EAST MEDICAL CENTRE SINGAPORE 427989,69708916,ORTHOPAEDIC,Avant Orthopaedics @ Parkway East,5,88,https://maps.google.com/?cid=182478144724733138&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3151918999999999,103.90903019999999,address_only,medium,0.607,427989,427989,"Suite 04-06 Parkway East Medical Centre, 319 Joo Chiat Pl, Singapore 427989",postal code matches; clinic name differs; address closely matches
AVANT SPINE SURGERY,Specialist,4.5+,319 JOO CHIAT PLACE #04-06 PARKWAY EAST MEDICAL CENTRE SINGAPORE 427989,69708916,ORTHOPAEDIC,Avant Orthopaedics @ Parkway East,5,88,https://maps.google.com/?cid=182478144724733138&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3151918999999999,103.90903019999999,address_only,medium,0.572,427989,427989,"Suite 04-06 Parkway East Medical Centre, 319 Joo Chiat Pl, Singapore 427989",postal code matches; clinic name differs; address closely matches
ALPINE SURGICAL PRACTICE,Specialist,4.5+,3 MOUNT ELIZABETH #17-16 MOUNT ELIZABETH MEDICAL CENTRE SINGAPORE 228510,6589 8929,GENERAL SURGERY,Alpine Surgical Practice - Dr Aaron Poh | Colonoscopy | Gallstones Removal Singapore,4.9,181,https://maps.google.com/?cid=12822520116205074805&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3044582999999998,103.8352398,address_only,medium,0.685,228510,228510,"3 Mount Elizabeth, #14-06 Medical Centre, Singapore 228510",postal code matches; clinic name differs; address closely matches
