clinic_name,category,rating_band,address,phone,specialty,google_place_name,google_rating,google_review_count,open_in_google_maps,latitude,longitude,match_status,review_priority,match_confidence,postal_code,google_postal_code,google_formatted_address,match_notes
EU YAN SANG TCM CLINIC @ JUNCTION 8,TCM,<4.0 / no rating,9 BISHAN PLACE #02-48 BISHAN JUNCTION 8 SINGAPORE 579837,64514977,,Eu Yan Sang Retail Store Junction 8,3.3,10,https://maps.google.com/?cid=6661312305843709031&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3508027,103.8484646,name_match_address_partial,medium,0.771,579837,579837,"9 Bishan Pl, #B1-18, Singapore 579837",postal code matches; clinic name partially matches; address partially matches
EU YAN SANG TCM CLINIC @ BUKIT PANJANG,TCM,<4.0 / no rating,1 JELEBU ROAD #01-13 BUKIT PANJANG PLAZA SINGAPORE 677743,67665234,,Eu Yan Sang TCM Clinic @ Bukit Panjang Plaza,3.3,28,https://maps.google.com/?cid=360234874055960260&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3798949999999999,103.764367,matched,low,0.998,677743,677743,"1 Jelebu Rd, #01-13 Bukit Panjang Plaza, Singapore 677743",postal code matches; clinic name closely matches; address closely matches
EU YAN SANG TCM CLINIC @ PUNGGOL,TCM,<4.0 / no rating,83 PUNGGOL CENTRAL #02-13 WATERWAY POINT SINGAPORE 828761,68757004,,Eu Yan Sang TCM Clinic @ Punggol - Waterway Point,3.5,49,https://maps.google.com/?cid=2338844128927396198&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.4066404,103.9020283,matched,low,0.89,828761,828761,"83 Punggol Central, #02-13, Singapore 828761",postal code matches; clinic name partially matches; address closely matches
EU YAN SANG TCM CLINIC @ JURONG GATEWAY,TCM,<4.0 / no rating,50 JURONG GATEWAY #04-54 JEM SINGAPORE 608549,66845677,,Eu Yan Sang,2.9,28,https://maps.google.com/?cid=14540398025883124972&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3331473,103.74325119999999,address_only,medium,0.636,608549,608549,"50 Jurong Gateway Rd, #B1 - 48 Jem, Singapore 608549",postal code matches; clinic name differs; address closely matches
FERRAGOLD SINGAPORE PTE. LTD. (CHINATOWN),TCM,<4.0 / no rating,1 PARK ROAD #01-79D PEOPLE'S PARK COMPLEX SINGAPORE 059108,6438 6656 / 9836 6656,,Ferragold TCM Clinic & Medical Hall @ People’s Park Complex,3.1,69,https://maps.google.com/?cid=6036210916714906214&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.2842282,103.8425523,address_only,medium,0.649,059108,059108,"1 Park Rd, #03-49 People's Park Complex, Singapore 059108",postal code matches; clinic name differs; address closely matches
EU YAN SANG TCM CLINIC @ GUOCO TOWER,TCM,<4.0 / no rating,7 WALLICH ST #03-01 GUOCO TOWER SINGAPORE 078884,"6271 0788 (CLINIC), 6704 9688 (ADMIN)",,Eu Yan Sang TCM Clinic @ Guoco Tower,3,2,https://maps.google.com/?cid=12341491806517509368&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.2769449,103.8453569,matched,low,1.0,078884,078884,"7 Wallich St, #03 - 01 Guoco Tower, Singapore 078884",postal code matches; clinic name closely matches; address closely matches
