clinic_name,category,rating_band,address,phone,specialty,google_place_name,google_rating,google_review_count,open_in_google_maps,latitude,longitude,match_status,review_priority,match_confidence,postal_code,google_postal_code,google_formatted_address,match_notes
GRAND OAK TCM CLINIC PTE LTD,TCM,4.5+,436A JOO CHIAT ROAD LEVEL 2 SINGAPORE 427649,62868896,,Grand Oak TCM Clinic （平脉中医）,4.8,310,https://maps.google.com/?cid=8358875574057892509&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.306727,103.90423829999999,matched,low,0.891,427649,427649,"436A Joo Chiat Rd, Level 2, Singapore 427649",postal code matches; clinic name closely matches; address closely matches
KIND TCM CLINIC PTE LTD,TCM,4.5+,EASTPOINT MALL #03-08 3 SIMEI STREET 6 SINGAPORE 528833,+65 60470079,,Kind TCM Clinic @ Eastpoint Mall,5,27,https://maps.google.com/?cid=952784807100167637&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3424638,103.9529786,matched,low,0.781,528833,528833,"3 Simei Street 6, #03 - 08, Singapore 528833",postal code matches; clinic name partially matches; address partially matches
GEN EYE TCM,TCM,4.5+,360 ORCHARD ROAD #09-04 INTERNATIONAL BUILDING SINGAPORE 238869,60259190 / 97311690,,Gen Eye TCM,4.9,79,https://maps.google.com/?cid=15270214898406027109&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3061653,103.83100019999999,matched,low,1.0,238869,238869,"360 Orchard Rd, #09-04 International Building, Singapore 238869",postal code matches; clinic name closely matches; address closely matches
LINGSHU TCM CLINIC,TCM,4.5+,BLK 326 SERANGOON AVE 3 #01-374 SINGAPORE 550326,81398627 / 93201614,,灵枢中医诊所 Lingshu TCM Clinic,5,42,https://maps.google.com/?cid=3397412332999297536&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3503589999999999,103.8690062,matched,low,1.0,550326,550326,"Blk 326 Serangoon Ave 3, #01-374, Singapore 550326",postal code matches; clinic name closely matches; address closely matches
CHONG HOE HEALTHCARE,TCM,4.5+,9 TAMPINES GRANDE #01-18 ASIA GREEN SINGAPORE 528735,85129336 / 88832363 (EMERGENCY),,Chong Hoe Healthcare TCM @ Tampines,4.9,36,https://maps.google.com/?cid=17970492724139998967&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3557701,103.9414999,matched,low,0.87,528735,528735,"9 Tampines Grande, #01-18, Singapore 528735",postal code matches; clinic name partially matches; address closely matches
HSI TCM PTE LTD,TCM,4.5+,11 TANJONG KATONG ROAD #01-54 KINEX MALL SINGAPORE 437157,67021826,,HSI Chinese Medicine 华盛中医 ( Kinex ),4.7,178,https://maps.google.com/?cid=17850214156837878305&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3145044,103.89506560000001,address_only,medium,0.602,437157,437157,"11 Tanjong Katong Rd, #01-59 Kinex, Singapore 437157",postal code matches; clinic name differs; address closely matches
DAIDAIFU ACUPUNCTURE & CHINESE MEDICINE CLINIC,TCM,4.5+,10 ANSON ROAD #02-77 INTERNATIONAL PLAZA SINGAPORE 079903,81977808,,Daidaifu Acupuncture & Chinese Medicine Clinic 戴大夫针灸与中药诊所,5,30,https://maps.google.com/?cid=7653404292048237917&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.2760650999999998,103.8458395,matched,low,1.0,079903,079903,"10 Anson Rd, #02-77 International Plaza, Singapore 079903",postal code matches; clinic name closely matches; address closely matches
GUO AN TANG TCM CLINIC (TIONG BAHRU),TCM,4.5+,78 INDUS ROAD #01-493 SINGAPORE 161078,89613808,,Guo An Tang TCM Clinic 国安堂中医诊所(Tiong Bahru),5,67,https://maps.google.com/?cid=14222127711152345291&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.2913195000000002,103.8274934,matched,low,1.0,161078,161078,"78 Indus Rd, #01-493, Singapore 161078",postal code matches; clinic name closely matches; address closely matches
"DERMATOLOGY, ALLERGY & SURGERY CLINIC (SHAW)",TCM,4.5+,1 SCOTTS ROAD #17-01 SHAW CENTRE SINGAPORE 228208,6517 9552,,"Dermatology, Allergy & Surgery Clinic @ Orchard",4.6,90,https://maps.google.com/?cid=18065502385333711550&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3062460000000002,103.83171999999999,matched,low,0.927,228208,228208,"1 Scotts Road, #17-01, Level 17 Shaw Centre, Singapore 228208",postal code matches; clinic name closely matches; address closely matches
"DERMATOLOGY, ALLERGY & SURGERY CLINIC (PARKWAY)",TCM,4.5+,80 MARINE PARADE ROAD #05-06/07 PARKWAY PARADE SINGAPORE 449269,6320 0766,,"Dermatology, Allergy & Surgery Clinic",4.7,46,https://maps.google.com/?cid=2914163157811518354&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3014702,103.9051552,matched,low,0.931,449269,449269,"80 Marine Parade Rd, #05-06/07 Parkway Parade, Singapore 449269",postal code matches; clinic name closely matches; address closely matches
